sample,x,y,r
1412,98,81,NA
1413,97,81,NA
1414,98,81,NA
1415,97,81,NA
1416,98,81,NA
1417,97,81,NA
1418,98,81,NA
1419,97,81,NA
1420,98,81,NA
1421,97,81,NA
1422,98,81,NA
1423,97,81,NA
1424,98,81,NA
1425,97,81,NA
1426,98,81,NA
1427,97,81,NA
1428,98,81,NA
1429,97,81,NA
1430,98,81,NA
1431,97,81,NA
1432,98,81,NA
1433,97,81,NA
1434,98,81,NA
1435,97,81,NA
1436,98,81,NA
1437,97,81,NA
1438,98,81,NA
1439,97,81,NA
1440,98,81,NA
1441,97,81,NA
1442,98,81,NA
1443,97,81,NA
1444,98,81,NA
1445,97,81,NA
1446,98,81,NA
1447,97,81,NA
1448,98,81,NA
1449,97,81,NA
1450,98,81,NA
1451,97,81,NA
1452,98,81,NA
1453,97,81,NA
1454,98,81,NA
1455,97,81,NA
1456,96,81,NA
1457,95,81,NA
1458,96,81,NA
1459,95,81,NA
1460,96,81,NA
1461,95,81,NA
1462,96,81,NA
1463,97,81,NA
1464,98,79,NA
1465,97,81,NA
1466,98,81,NA
1467,0,0,NA
1468,0,0,NA
1469,0,0,NA
1470,0,0,NA
1471,0,0,NA
1472,0,0,NA
1473,97,83,NA
1474,96,83,NA
1475,97,83,NA
1476,98,83,NA
1477,97,83,NA
1478,96,83,NA
1479,97,83,NA
1480,98,83,NA
1481,97,83,NA
1482,98,83,NA
1483,97,83,NA
1484,98,83,NA
1485,97,83,NA
1486,98,83,NA
1487,97,83,NA
1488,98,83,NA
1489,97,83,NA
1490,98,83,NA
1491,97,83,NA
1492,98,83,NA
1493,97,83,NA
1494,98,83,NA
1495,97,83,NA
